Name,Identity,Form,Alt,Alignment,Type,Size,armour_name,stated_ac,body_armour,resistances,armor_bonus,ac,stated_hp,hp,expected_hp,hp_fudge,level,hd,F,A,S,E,R,I,P,H,K,Res,Pop,Powers,Powers_Rank,Powers_Adj,Powers_Adj_Rank,Equipment,Equipment_Rank,Equipment_Adj,Equipment_Adj_Rank,Vehicle,Talents,Talents_Adj,Contacts,Contacts_Adj,Weaknesses,Weaknesses_Adj,Powers_Form,Spd,Att,Attack,Defense,Dam,Climbing,Escaping,martial_arts,mook,attack_parameters,CR,xp,regen,healing_spells,healing_dice,healing_bonus,sc_ability,log,proficiency,initiative_bonus,AB_F,AB_A,AB_S,AB_E,AB_R,AB_I,AB_P
Elloe Kaifi,,,,Elloe Kaifi,,,,Rm;,"{'Physical': 'Rm', 'Energy': 'Rm'}",{},,,,,,,,,Rm,Ex,Gd,Rm,Gd,Gd,Rm,90,50,Gd,,{},{},{},{},"{'Body Armour': 'Rm protection vs. Physical and Energy', 'Staff': 'In material, Am Blunt, the staff is capable of the following power stunts:', 'Energy Blast': 'In Energy or Force, up to 10 areas'}","{'Body Armour': 'Rm;', 'Staff': 'In;Am;', 'Energy Blast': 'In;'}","{'Body Armour': 'Rm protection vs. Physical and Energy', 'Staff': 'In material, Am Blunt, the staff is capable of the following power stunts:', 'Energy Blast': 'In Energy or Force, up to 10 areas'}","{'Body Armour': 'Rm;', 'Staff': 'In;Am;', 'Energy Blast': 'In;'}",{},"{'Martial Arts B': 1, 'Weapon Specialist': 1}","{'Martial Arts B': 1, 'Weapons Specialist: (Staff)': 1}",{'Warbound': 1},{},[''],{},{},0,0,"{'Blunt': {'S': '', 'R': '', 'A': '', 'AP': '', 'AB': ''}, 'Edged': {'S': '', 'R': '', 'A': '', 'AP': ''}, 'Throwing Blunt': {'S': '', 'R': '', 'A': '', 'AP': ''}, 'Throwing Edged': {'S': '', 'R': '', 'A': '', 'AP': ''}, 'Shooting': {'S': '', 'R': '', 'A': '', 'AP': ''}, 'Energy': {'S': '', 'R': 'In;', 'A': '', 'AP': '', 'C': '', 'AB': ''}, 'Force': {'S': '', 'R': '', 'A': '', 'AP': '', 'C': ''}, 'Grappling': {'S': '', 'R': '', 'A': '', 'AP': ''}, 'Grabbing': {}, 'Charging': {}, 'Mental': {'S': '', 'R': '', 'A': '', 'AP': '', 'C': ''}, 'Magic': {'S': '', 'R': '', 'A': '', 'AP': '', 'C': ''}, 'Power': {'S': '', 'R': '', 'A': '', 'AP': '', 'C': '', 'AB': '', 'N': ''}}","{'Escaping': {}, 'Dodging': {}, 'Evading': {}, 'Blocking': {}, 'Catching': {}, 'Ability': {}, 'Blunt': {'AB': ''}, 'Energy': {'AB': ''}, 'Mental': {}, 'Magic': {}}",0,0,0,B,0,,,,,,,,,,,,,,,,,,
Elsa Bloodstone,,,,Elsa Bloodstone,,,,,"{'Physical': 'Sh0', 'Energy': 'Sh0'}",{},,,,,,,,,In,Ex,In,Un,Gd,Ty,Ty,200/36,22,Gd,,{},{},{},{},"{'Bloodstone Choker': 'Am material, the Bloodstone Choker grants Elsa the following power stunts:', 'Alter Ego': 'Stats change as shown above', 'Regeneration': 'Ex', 'Repel Vampires': 'Am', 'Blood': 'Should a vampire drink her blood, they suffer an instant kill result', 'Magic Lamp': 'Un material, the lamp has the following power stunts:', 'Teleportation': 'Un ability to teleport Elsa to mystical trouble spots', 'Danger Sense': 'Mn, the lamp glows whenever a mystical threat was active in the world', 'Shotgun': '(x2) Ex Shooting, 3 areas, fires out silver cross buckshots, may hit up to 3 adjacent targets in the same area', 'Ultraviolet Flashlight': 'Ex illumination, causes harm to vampires'}","{'Bloodstone Choker': 'Am;', 'Alter Ego': '', 'Regeneration': '', 'Repel Vampires': '', 'Blood': '', 'Magic Lamp': 'Un;', 'Teleportation': 'Un;', 'Danger Sense': 'Mn;', 'Shotgun': 'Ex;', 'Ultraviolet Flashlight': 'Ex;'}","{'Bloodstone Choker': 'Am material, the Bloodstone Choker grants Elsa the following power stunts:', 'Alter Ego': 'Stats change as shown above', 'Regeneration': 'Ex', 'Repel Vampires': 'Am', 'Blood': 'Should a vampire drink her blood, they suffer an instant kill result', 'Magic Lamp': 'Un material, the lamp has the following power stunts:', 'Teleportation': 'Un ability to teleport Elsa to mystical trouble spots', 'Danger Sense': 'Mn, the lamp glows whenever a mystical threat was active in the world', 'Shotgun': '(x2) Ex Shooting, 3 areas, fires out silver cross buckshots, may hit up to 3 adjacent targets in the same area', 'Ultraviolet Flashlight': 'Ex illumination, causes harm to vampires'}","{'Bloodstone Choker': 'Am;', 'Alter Ego': '', 'Regeneration': '', 'Repel Vampires': '', 'Blood': '', 'Magic Lamp': 'Un;', 'Teleportation': 'Un;', 'Danger Sense': 'Mn;', 'Shotgun': 'Ex;', 'Ultraviolet Flashlight': 'Ex;'}",{},"{'Acrobatics': 1, 'Martial Arts A': 1, 'Mystic Backgroud': 1}","{'Acrobatics': 1, 'Hand-to-Hand Combat': 1, 'Occult': 1}",{'Next Wave': 1},{},[''],{},{},0,0,"{'Blunt': {'S': '', 'R': '', 'A': '', 'AP': '', 'AB': ''}, 'Edged': {'S': '', 'R': '', 'A': '', 'AP': ''}, 'Throwing Blunt': {'S': '', 'R': '', 'A': '', 'AP': ''}, 'Throwing Edged': {'S': '', 'R': '', 'A': '', 'AP': ''}, 'Shooting': {'S': '', 'R': '', 'A': '', 'AP': ''}, 'Energy': {'S': '', 'R': '', 'A': '', 'AP': '', 'C': '', 'AB': ''}, 'Force': {'S': '', 'R': '', 'A': '', 'AP': '', 'C': ''}, 'Grappling': {'S': '', 'R': '', 'A': '', 'AP': ''}, 'Grabbing': {}, 'Charging': {}, 'Mental': {'S': '', 'R': '', 'A': '', 'AP': '', 'C': ''}, 'Magic': {'S': '', 'R': '', 'A': '', 'AP': '', 'C': ''}, 'Power': {'S': '', 'R': '', 'A': '', 'AP': '', 'C': '', 'AB': '', 'N': ''}}","{'Escaping': {}, 'Dodging': {}, 'Evading': {}, 'Blocking': {}, 'Catching': {}, 'Ability': {}, 'Blunt': {'AB': ''}, 'Energy': {'AB': ''}, 'Mental': {}, 'Magic': {}}",0,0,0,A,0,,,,,,,,,,,,,,,,,,
Elsie-Dee,,,,Elsie-Dee,,,,Ex;,"{'Physical': 'Ex', 'Energy': 'Ty'}","{'Disease': 'Un', 'Poison': 'CL1000'}",,,,,,,,,Ex,Ty,In,In,In,Rm,Rm,106,100,Gd,,"{'Android Body': 'Albert is an android whose very body gives him the following power stunts:', 'Body Armour': 'Ex resistance to injury.', 'Self-Sustanence': ""Doesn't need to eat, sleep or breathe"", 'Invulnerability to Disease and Toxins': 'CL1000 vs. organic pathogens, Un vs. chemically creative substances.', 'Infrared Vision': 'In', 'Internal Radio': 'In communications', 'Detach Head': 'Elsie-Dee is able to detach her head and control her body remotely with In ability'}","{'Android Body': '', 'Body Armour': 'Ex;', 'Self-Sustanence': '', 'Invulnerability to Disease and Toxins': 'Un;CL1000;', 'Infrared Vision': '', 'Internal Radio': 'In;', 'Detach Head': 'In;'}","{'Android': 'Testing One Only', 'Body Armour': 'Ex resistance to injury.', 'Life Support': 'Testing One Only', 'Resist:Disease': 'Testing Multi', 'Resist:Poison': 'Testing Multi', 'Infrared Vision': 'In', 'Radio': 'Testing One Only', 'Body Transformation-Self': 'Testing One Only'}","{'Android': '', 'Body Armour': 'Ex;', 'Life Support': '', 'Resist:Disease': 'Un', 'Resist:Poison': 'CL1000', 'Infrared Vision': '', 'Radio': 'In;', 'Body Transformation-Self': 'In;'}",{},{},{},{},{},"{'Computer': 1, 'Engineering': 1, 'Repair/Tinkering': 1}","{'Computers': 1, 'Engineering': 1, 'Repair/Tinkering': 1}",{'Albert': 1},{},[''],{},{},0,0,"{'Blunt': {'S': '', 'R': '', 'A': '', 'AP': '', 'AB': ''}, 'Edged': {'S': '', 'R': '', 'A': '', 'AP': ''}, 'Throwing Blunt': {'S': '', 'R': '', 'A': '', 'AP': ''}, 'Throwing Edged': {'S': '', 'R': '', 'A': '', 'AP': ''}, 'Shooting': {'S': '', 'R': '', 'A': '', 'AP': ''}, 'Energy': {'S': '', 'R': '', 'A': '', 'AP': '', 'C': '', 'AB': ''}, 'Force': {'S': '', 'R': '', 'A': '', 'AP': '', 'C': ''}, 'Grappling': {'S': '', 'R': '', 'A': '', 'AP': ''}, 'Grabbing': {}, 'Charging': {}, 'Mental': {'S': '', 'R': '', 'A': '', 'AP': '', 'C': ''}, 'Magic': {'S': '', 'R': '', 'A': '', 'AP': '', 'C': ''}, 'Power': {'S': '', 'R': '', 'A': '', 'AP': '', 'C': '', 'AB': '', 'N': ''}}","{'Escaping': {}, 'Dodging': {}, 'Evading': {}, 'Blocking': {}, 'Catching': {}, 'Ability': {}, 'Blunt': {'AB': ''}, 'Energy': {'AB': ''}, 'Mental': {}, 'Magic': {}}",0,0,0,,0,,,,,,,,,,,,,,,,,,
El Toro,"Benito ""Benny"" Serrano",,,El Toro,,,,Am;,"{'Physical': 'Am', 'Energy': 'Am'}",{},,,,,,,,,Rm,Ex,Mn,Am,Ty,Gd,Rm,175/60,46,0,0,"{'Toro Form': 'Benito Serrano has the power to change himself into a superhuman form that gives him the following abilities:', 'Alter Ego': 'Stats change as shown above', 'Body Armour': 'Am protection vs. Physical and Energy', 'Leaping': 'Am', 'Charging': 'El Toro can move up to 4 areas in a round, but only in a straight line. He receives a +2CS when charging and his armor provides him with Un protection against any damage he might take.', 'Horns': 'Rm Edge'}","{'Toro Form': '', 'Alter Ego': '', 'Body Armour': 'Am;', 'Leaping': '', 'Charging': 'Un;', 'Horns': 'Rm;'}","{'Body Transformation-Self': 'Testing One Only', 'Alter Ego': 'Stats change as shown above', 'Body Armour': 'Am protection vs. Physical and Energy', 'Leaping': 'Am', 'Charging': 'El Toro can move up to 4 areas in a round, but only in a straight line. He receives a +2CS when charging and his armor provides him with Un protection against any damage he might take.', 'Edged': 'Testing One Only'}","{'Body Transformation-Self': '', 'Alter Ego': '', 'Body Armour': 'Am;', 'Leaping': '', 'Charging': 'Un;', 'Edged': 'Rm;'}",{},{},{},{},{},"{'Military': 1, 'Martial Arts B': 1, 'Guns': 1, 'Spanish': 1}","{'Military Training': 1, 'Martial Arts B': 1, 'Guns': 1, 'Spanish': 1}",{'Young Allies': 1},{},[''],{},{},0,0,"{'Blunt': {'S': '', 'R': '', 'A': '', 'AP': '', 'AB': ''}, 'Edged': {'S': 'Rm;', 'R': '', 'A': '', 'AP': ''}, 'Throwing Blunt': {'S': '', 'R': '', 'A': '', 'AP': ''}, 'Throwing Edged': {'S': '', 'R': '', 'A': '', 'AP': ''}, 'Shooting': {'S': '', 'R': '', 'A': '', 'AP': ''}, 'Energy': {'S': '', 'R': '', 'A': '', 'AP': '', 'C': '', 'AB': ''}, 'Force': {'S': '', 'R': '', 'A': '', 'AP': '', 'C': ''}, 'Grappling': {'S': '', 'R': '', 'A': '', 'AP': ''}, 'Grabbing': {}, 'Charging': {}, 'Mental': {'S': '', 'R': '', 'A': '', 'AP': '', 'C': ''}, 'Magic': {'S': '', 'R': '', 'A': '', 'AP': '', 'C': ''}, 'Power': {'S': '', 'R': '', 'A': '', 'AP': '', 'C': '', 'AB': '', 'N': ''}}","{'Escaping': {}, 'Dodging': {}, 'Evading': {}, 'Blocking': {}, 'Catching': {}, 'Ability': {}, 'Blunt': {'AB': ''}, 'Energy': {'AB': ''}, 'Mental': {}, 'Magic': {}}",0,0,0,B,0,,,,,,,,,,,,,,,,,,
Elysius,,,,Elysius,,,,,"{'Physical': 'Sh0', 'Energy': 'Sh0'}",{},,,,,,,,,Ex,Ex,Am,Am,Rm,Rm,Rm,140,90,Rm,,{'Immortal': 'Does not age'},{'Immortal': ''},{'Immortal': 'Does not age'},{'Immortal': ''},{},{},{},{},{},{'Computer': 1},{'Computers': 1},"{'Captain Mar-Vell': 1, 'Stafox': 1, 'Mentor': 1, 'Captain Marvel/Genis-Vell': 1, 'Phyla': 1}",{},[''],{},{},0,0,"{'Blunt': {'S': '', 'R': '', 'A': '', 'AP': '', 'AB': ''}, 'Edged': {'S': '', 'R': '', 'A': '', 'AP': ''}, 'Throwing Blunt': {'S': '', 'R': '', 'A': '', 'AP': ''}, 'Throwing Edged': {'S': '', 'R': '', 'A': '', 'AP': ''}, 'Shooting': {'S': '', 'R': '', 'A': '', 'AP': ''}, 'Energy': {'S': '', 'R': '', 'A': '', 'AP': '', 'C': '', 'AB': ''}, 'Force': {'S': '', 'R': '', 'A': '', 'AP': '', 'C': ''}, 'Grappling': {'S': '', 'R': '', 'A': '', 'AP': ''}, 'Grabbing': {}, 'Charging': {}, 'Mental': {'S': '', 'R': '', 'A': '', 'AP': '', 'C': ''}, 'Magic': {'S': '', 'R': '', 'A': '', 'AP': '', 'C': ''}, 'Power': {'S': '', 'R': '', 'A': '', 'AP': '', 'C': '', 'AB': '', 'N': ''}}","{'Escaping': {}, 'Dodging': {}, 'Evading': {}, 'Blocking': {}, 'Catching': {}, 'Ability': {}, 'Blunt': {'AB': ''}, 'Energy': {'AB': ''}, 'Mental': {}, 'Magic': {}}",0,0,0,,0,,,,,,,,,,,,,,,,,,
Ember,,,,Ember,,,,Ex;,"{'Physical': 'Ex', 'Energy': 'Ex'}",{'Check Resistance': ''},,,,,,,,,Ex,Gd,Ex,Ex,Ty,Ty,Ty,70,18,Ty,,"{'Lava Form': ""Ember's body has stony skin, with fire visible along the cracks, as though his body is made of lava. This gives him the following abilities:"", 'Body Armour': 'Ex protection vs. Physical and Energy', 'Resist': 'Fire and Heat', 'Heat Emission': 'Am', 'Fire Generation': 'Am ability to generate flames'}","{'Lava Form': '', 'Body Armour': 'Ex;', 'Resist': '', 'Heat Emission': '', 'Fire Generation': 'Am;'}","{'Body Transformation-Self': 'Testing One Only', 'Body Armour': 'Ex protection vs. Physical and Energy', 'Resist': 'Fire and Heat', 'Energy Blast:Fire': 'Testing One Only', 'Fire Generation': 'Am ability to generate flames'}","{'Body Transformation-Self': '', 'Body Armour': 'Ex;', 'Resist': '', 'Energy Blast:Fire': '', 'Fire Generation': 'Am;'}",{},{},{},{},{},{'None': 1},{'None': 1},{'Bastards of Evil': 1},{},[''],{},{},0,0,"{'Blunt': {'S': '', 'R': '', 'A': '', 'AP': '', 'AB': ''}, 'Edged': {'S': '', 'R': '', 'A': '', 'AP': ''}, 'Throwing Blunt': {'S': '', 'R': '', 'A': '', 'AP': ''}, 'Throwing Edged': {'S': '', 'R': '', 'A': '', 'AP': ''}, 'Shooting': {'S': '', 'R': '', 'A': '', 'AP': ''}, 'Energy': {'S': '', 'R': '', 'A': '', 'AP': '', 'C': '', 'AB': ''}, 'Force': {'S': '', 'R': '', 'A': '', 'AP': '', 'C': ''}, 'Grappling': {'S': '', 'R': '', 'A': '', 'AP': ''}, 'Grabbing': {}, 'Charging': {}, 'Mental': {'S': '', 'R': '', 'A': '', 'AP': '', 'C': ''}, 'Magic': {'S': '', 'R': '', 'A': '', 'AP': '', 'C': ''}, 'Power': {'S': '', 'R': '', 'A': '', 'AP': '', 'C': '', 'AB': '', 'N': ''}}","{'Escaping': {}, 'Dodging': {}, 'Evading': {}, 'Blocking': {}, 'Catching': {}, 'Ability': {}, 'Blunt': {'AB': ''}, 'Energy': {'AB': ''}, 'Mental': {}, 'Magic': {}}",0,0,0,,0,,,,,,,,,,,,,,,,,,
Emma Frost,,,,Emma Frost,,,,In;Mn;,"{'Physical': 'In', 'Energy': 'Mn'}",{},,,,,,,,,Gd,Gd,Ty,Am,Rm,In,Mn,76,145,In,,"{'Telepathy': 'Mn, Emma Frost is able to perform the following power stunts:', 'Read Minds': 'Mn', ""Project Illusions in a target's mind"": 'Mn', 'Mental Bolts': 'Mn, 4 areas, no body armor', 'Psi-Screen': 'Mn', 'Psionic Rapport': 'Am', 'Psionic Control': 'Mn', 'Generate Pain on touch': 'Mn', 'Organic Diamond Form': ""As a result of undergoing a body-wide secondary mutation, Frost now possesses the ability to transform her body into a flexible organic diamond form. In many ways, this is similar to Colossus' organic steel form. She must transform all parts of her body, rather than selectively transforming certain areas and can remain in this form for an indetermined amount of time. If she is rendered unconscious, Frost's body will automatically transform into its normal state. This transformation also alters Frost's personality, causing her to become rather cold hearted and to lose her empathy for others. She gains the following abilities:"", 'Alter Ego': ""In her diamond form, Frost's Strength becomes In and Endurance becomes Mn, her Health changes to 135"", 'Body Armour': 'Un protection vs. Physical, Energy, Heat and Cold, Am protection vs. Electrical and Corrosives.', 'Self-Sustenance': 'Frost is also self contained while transformed, requiring no food, water or oxygen.'}","{'Telepathy': 'Mn;', 'Read Minds': '', ""Project Illusions in a target's mind"": '', 'Mental Bolts': 'Mn;', 'Psi-Screen': '', 'Psionic Rapport': '', 'Psionic Control': '', 'Generate Pain on touch': '', 'Organic Diamond Form': 'In;', 'Alter Ego': 'In;Mn;', 'Body Armour': 'Am;Un;', 'Self-Sustenance': ''}","{'Telepathy': 'Testing One Only', 'Illusions': 'Testing One Only', 'Mental Bolts': 'Mn, 4 areas, no body armor', 'Psi-Screen': 'Testing One Only', 'Telepathy:Link': 'Testing One Only', 'Mind Control': 'Testing One Only', 'Stunning': 'Testing One Only', 'Body Transformation-Self': 'Testing One Only', 'Alter Ego': ""In her diamond form, Frost's Strength becomes In and Endurance becomes Mn, her Health changes to 135"", 'Body Armour': 'Un protection vs. Physical, Energy, Heat and Cold, Am protection vs. Electrical and Corrosives.', 'Self-Sustenance': 'Frost is also self contained while transformed, requiring no food, water or oxygen.'}","{'Telepathy': 'Mn;', 'Illusions': '', 'Mental Bolts': '', 'Psi-Screen': 'Mn;', 'Telepathy:Link': '', 'Mind Control': '', 'Stunning': '', 'Body Transformation-Self': '', 'Alter Ego': 'In;', 'Body Armour': 'In;Mn;', 'Self-Sustenance': 'Am;Un;'}",{},{},{},{},{},"{'Administration': 1, 'Business/Finance': 1, 'Education': 1, 'Electronics': 1}","{'Administration': 1, 'Business/Finance': 1, 'Education': 1, 'Electronics': 1}","{'Quiet Council of Krakoa': 1, 'Hellfire Trading Company': 1, 'The Marauders': 1}",{},[''],{},{},0,0,"{'Blunt': {'S': '', 'R': '', 'A': '', 'AP': '', 'AB': ''}, 'Edged': {'S': '', 'R': '', 'A': '', 'AP': ''}, 'Throwing Blunt': {'S': '', 'R': '', 'A': '', 'AP': ''}, 'Throwing Edged': {'S': '', 'R': '', 'A': '', 'AP': ''}, 'Shooting': {'S': '', 'R': '', 'A': '', 'AP': ''}, 'Energy': {'S': '', 'R': '', 'A': '', 'AP': '', 'C': '', 'AB': ''}, 'Force': {'S': '', 'R': '', 'A': '', 'AP': '', 'C': ''}, 'Grappling': {'S': '', 'R': '', 'A': '', 'AP': ''}, 'Grabbing': {}, 'Charging': {}, 'Mental': {'S': '', 'R': '', 'A': '', 'AP': '', 'C': ''}, 'Magic': {'S': '', 'R': '', 'A': '', 'AP': '', 'C': ''}, 'Power': {'S': '', 'R': '', 'A': '', 'AP': '', 'C': '', 'AB': '', 'N': ''}}","{'Escaping': {}, 'Dodging': {}, 'Evading': {}, 'Blocking': {}, 'Catching': {}, 'Ability': {}, 'Blunt': {'AB': ''}, 'Energy': {'AB': ''}, 'Mental': {}, 'Magic': {}}",0,0,0,,0,,,,,,,,,,,,,,,,,,
Emma Frost,,,,Emma Frost,,,,Am;Un;,"{'Physical': 'Am', 'Energy': 'Un'}",{},,,,,,,,,Gd,Gd,Ty,Am,Rm,Ex,Rm,76,80,In,,"{'Organic Diamond Form': ""As a result of undergoing a body-wide secondary mutation, Frost now possesses the ability to transform her body into a flexible organic diamond form. In many ways, this is similar to Colossus' organic steel form. She must transform all parts of her body, rather than selectively transforming certain areas and can remain in this form for an indetermined amount of time. If she is rendered unconscious, Frost's body will automatically transform into its normal state. This transformation also alters Frost's personality, causing her to become rather cold hearted and to lose her empathy for others. She gains the following abilities:"", 'Alter Ego': ""In her diamond form, Frost's Strength becomes In and Endurance becomes Mn, her Health changes to 135"", 'Body Armour': 'Un protection vs. Physical, Energy, Heat and Cold, Am protection vs. Electrical and Corrosives.', 'Self-Sustenance': 'Frost is also self contained while transformed, requiring no food, water or oxygen.'}","{'Organic Diamond Form': 'In;', 'Alter Ego': 'In;Mn;', 'Body Armour': 'Am;Un;', 'Self-Sustenance': ''}","{'Body Transformation-Self': 'Testing One Only', 'Alter Ego': ""In her diamond form, Frost's Strength becomes In and Endurance becomes Mn, her Health changes to 135"", 'Body Armour': 'Un protection vs. Physical, Energy, Heat and Cold, Am protection vs. Electrical and Corrosives.', 'Self-Sustenance': 'Frost is also self contained while transformed, requiring no food, water or oxygen.'}","{'Body Transformation-Self': 'In;', 'Alter Ego': 'In;Mn;', 'Body Armour': 'Am;Un;', 'Self-Sustenance': ''}",{},{},{},{},{},"{'Administration': 1, 'Business/Finance': 1, 'Education': 1, 'Electronics': 1}","{'Administration': 1, 'Business/Finance': 1, 'Education': 1, 'Electronics': 1}",{'X-Men': 1},{},"[""Damaged Power: Exposure to the Phoenix Force has had lasting effects on Emma's powers. While her telepathy hasn't completely vanished, it's so residual that she can barely even control it anymore; she now projects her own thoughts unintentionally instead of reading minds with Am ability."", '', 'Talents: Administration, Business/Finance, Education, Electronics', ' ', 'Contacts: X-Men', '', '<center><img src=""https://imgur.com/VyErsDm.jpg"" align=center> Emma Frost\'s Diamond Form</img>']",{},{},0,0,"{'Blunt': {'S': '', 'R': '', 'A': '', 'AP': '', 'AB': ''}, 'Edged': {'S': '', 'R': '', 'A': '', 'AP': ''}, 'Throwing Blunt': {'S': '', 'R': '', 'A': '', 'AP': ''}, 'Throwing Edged': {'S': '', 'R': '', 'A': '', 'AP': ''}, 'Shooting': {'S': '', 'R': '', 'A': '', 'AP': ''}, 'Energy': {'S': '', 'R': '', 'A': '', 'AP': '', 'C': '', 'AB': ''}, 'Force': {'S': '', 'R': '', 'A': '', 'AP': '', 'C': ''}, 'Grappling': {'S': '', 'R': '', 'A': '', 'AP': ''}, 'Grabbing': {}, 'Charging': {}, 'Mental': {'S': '', 'R': '', 'A': '', 'AP': '', 'C': ''}, 'Magic': {'S': '', 'R': '', 'A': '', 'AP': '', 'C': ''}, 'Power': {'S': '', 'R': '', 'A': '', 'AP': '', 'C': '', 'AB': '', 'N': ''}}","{'Escaping': {}, 'Dodging': {}, 'Evading': {}, 'Blocking': {}, 'Catching': {}, 'Ability': {}, 'Blunt': {'AB': ''}, 'Energy': {'AB': ''}, 'Mental': {}, 'Magic': {}}",0,0,0,,0,,,,,,,,,,,,,,,,,,
Emma Frost,,,,Emma Frost,,,,,"{'Physical': 'Sh0', 'Energy': 'Sh0'}",{},,,,,,,,,Gd,Gd,Ty,Am,Rm,In,Mn,76,145,In,,"{'Telepathy': 'Mn, Emma Frost is able to perform the following power stunts:', 'Read Minds': 'Mn', ""Project Illusions in a target's mind"": 'Mn', 'Mental Bolts': 'Mn, 4 areas, no body armor', 'Psi-Screen': 'Mn', 'Psionic Rapport': 'Am', 'Psionic Control': 'Mn', 'Generate Pain on touch': 'Mn'}","{'Telepathy': 'Mn;', 'Read Minds': '', ""Project Illusions in a target's mind"": '', 'Mental Bolts': 'Mn;', 'Psi-Screen': '', 'Psionic Rapport': '', 'Psionic Control': '', 'Generate Pain on touch': ''}","{'Telepathy': 'Testing One Only', 'Illusions': 'Testing One Only', 'Mental Bolts': 'Mn, 4 areas, no body armor', 'Psi-Screen': 'Testing One Only', 'Telepathy:Link': 'Testing One Only', 'Mind Control': 'Testing One Only', 'Stunning': 'Testing One Only'}","{'Telepathy': 'Mn;', 'Illusions': '', 'Mental Bolts': '', 'Psi-Screen': 'Mn;', 'Telepathy:Link': '', 'Mind Control': '', 'Stunning': ''}",{},{},{},{},{},"{'Administration': 1, 'Business/Finance': 1, 'Education': 1, 'Electronics': 1}","{'Administration': 1, 'Business/Finance': 1, 'Education': 1, 'Electronics': 1}","{'Generation X': 1, 'Banshee': 1}",{},[''],{},{},0,0,"{'Blunt': {'S': '', 'R': '', 'A': '', 'AP': '', 'AB': ''}, 'Edged': {'S': '', 'R': '', 'A': '', 'AP': ''}, 'Throwing Blunt': {'S': '', 'R': '', 'A': '', 'AP': ''}, 'Throwing Edged': {'S': '', 'R': '', 'A': '', 'AP': ''}, 'Shooting': {'S': '', 'R': '', 'A': '', 'AP': ''}, 'Energy': {'S': '', 'R': '', 'A': '', 'AP': '', 'C': '', 'AB': ''}, 'Force': {'S': '', 'R': '', 'A': '', 'AP': '', 'C': ''}, 'Grappling': {'S': '', 'R': '', 'A': '', 'AP': ''}, 'Grabbing': {}, 'Charging': {}, 'Mental': {'S': '', 'R': '', 'A': '', 'AP': '', 'C': ''}, 'Magic': {'S': '', 'R': '', 'A': '', 'AP': '', 'C': ''}, 'Power': {'S': '', 'R': '', 'A': '', 'AP': '', 'C': '', 'AB': '', 'N': ''}}","{'Escaping': {}, 'Dodging': {}, 'Evading': {}, 'Blocking': {}, 'Catching': {}, 'Ability': {}, 'Blunt': {'AB': ''}, 'Energy': {'AB': ''}, 'Mental': {}, 'Magic': {}}",0,0,0,,0,,,,,,,,,,,,,,,,,,
Empath,Manuel Rodrigo de la Rocha,,,Empath,,,,,"{'Physical': 'Sh0', 'Energy': 'Sh0'}",{},,,,,,,,,Ty,Gd,Ty,Gd,Gd,Gd,Mn,32,95,Ex,,"{'Emotion Control': 'Mn ability to control one emotion at a time, but can effect many targets in the same area simultaneously. Up to a range of 1 area.', 'Empathy': 'Mn ability to detect the feelings of others. Empath cannot control feelings that do not exist in the target. Monomaniacs make FEATs +2cs higher than normal when he tries to control emotions that run counter to their monomaniacal streak. Robots are unaffected by his power.'}","{'Emotion Control': 'Mn;', 'Empathy': 'Mn;'}","{'Emotion Control': 'Mn ability to control one emotion at a time, but can effect many targets in the same area simultaneously. Up to a range of 1 area.', 'Emotion Detection': 'Testing One Only'}","{'Emotion Control': 'Mn;', 'Emotion Detection': 'Mn;'}",{},{},{},{},{},"{'Bilingual': 1, 'Spanish': 1}","{'Bi-Lingual: (English': 1, 'Spanish)': 1}",{'Hellions': 1},{},[''],{},{},0,0,"{'Blunt': {'S': '', 'R': '', 'A': '', 'AP': '', 'AB': ''}, 'Edged': {'S': '', 'R': '', 'A': '', 'AP': ''}, 'Throwing Blunt': {'S': '', 'R': '', 'A': '', 'AP': ''}, 'Throwing Edged': {'S': '', 'R': '', 'A': '', 'AP': ''}, 'Shooting': {'S': '', 'R': '', 'A': '', 'AP': ''}, 'Energy': {'S': '', 'R': '', 'A': '', 'AP': '', 'C': '', 'AB': ''}, 'Force': {'S': '', 'R': '', 'A': '', 'AP': '', 'C': ''}, 'Grappling': {'S': '', 'R': '', 'A': '', 'AP': ''}, 'Grabbing': {}, 'Charging': {}, 'Mental': {'S': '', 'R': '', 'A': '', 'AP': '', 'C': ''}, 'Magic': {'S': '', 'R': '', 'A': '', 'AP': '', 'C': ''}, 'Power': {'S': '', 'R': '', 'A': '', 'AP': '', 'C': '', 'AB': '', 'N': ''}}","{'Escaping': {}, 'Dodging': {}, 'Evading': {}, 'Blocking': {}, 'Catching': {}, 'Ability': {}, 'Blunt': {'AB': ''}, 'Energy': {'AB': ''}, 'Mental': {}, 'Magic': {}}",0,0,0,,0,,,,,,,,,,,,,,,,,,
